elapsed_s,voltage_V,current_A,temp_bat1_C,soc_cc_pct,soc_jk_pct,soc_ekf_pct,err_jk_pct,err_ekf_pct,v_pred_V
71.174,26.155,4.96,28.2,30.2819,31.0,30.2227,-0.7181,0.0592,26.16153
72.192,26.158,4.96,28.2,30.2886,31.0,30.2302,-0.7114,0.0585,26.15508
73.219,26.158,4.96,28.2,30.2954,31.0,30.237,-0.7046,0.0585,26.15792
74.15,26.161,4.96,28.2,30.3016,31.0,30.2439,-0.6984,0.0577,26.15797
75.165,26.167,4.88,28.2,30.3082,31.0,30.2558,-0.6918,0.0524,26.15896
76.189,26.168,4.96,28.2,30.315,31.0,30.2626,-0.685,0.0524,26.16852
77.214,26.17,4.8,28.2,30.3216,31.0,30.2722,-0.6784,0.0494,26.16395
78.239,26.17,4.88,28.2,30.3282,31.0,30.2787,-0.6718,0.0495,26.17133
79.162,26.17,4.88,28.2,30.3343,31.0,30.2847,-0.6657,0.0495,26.16965
80.179,26.171,4.96,28.2,30.341,31.0,30.2914,-0.659,0.0496,26.17147
81.206,26.173,4.96,28.2,30.3478,31.0,30.2987,-0.6522,0.0491,26.17067
82.232,26.176,4.8,28.2,30.3544,31.0,30.3093,-0.6456,0.045,26.16879
83.168,26.181,4.96,28.2,30.3606,31.0,30.3158,-0.6394,0.0448,26.17915
84.176,26.179,4.8,28.2,30.367,31.0,30.3227,-0.633,0.0443,26.1766
85.201,26.182,4.96,28.2,30.3738,31.0,30.3295,-0.6262,0.0443,26.18201
86.222,26.182,4.96,28.2,30.3806,31.0,30.3363,-0.6194,0.0443,26.18139
87.248,26.182,4.96,28.2,30.3874,31.0,30.3431,-0.6126,0.0443,26.18138
88.175,26.187,4.8,28.2,30.3933,31.0,30.3547,-0.6067,0.0386,26.17767
89.19,26.19,4.84,28.2,30.3999,31.0,30.3619,-0.6001,0.038,26.18701
90.217,26.193,4.88,28.2,30.4066,31.0,30.3693,-0.5934,0.0373,26.18995
91.247,26.191,4.92,28.2,30.4134,31.0,30.3758,-0.5866,0.0376,26.19291
92.186,26.191,4.92,28.2,30.4195,31.0,30.382,-0.5805,0.0375,26.19023
93.187,26.193,4.92,28.2,30.4261,31.0,30.3892,-0.5739,0.0369,26.19013
94.211,26.194,4.92,28.2,30.4328,31.0,30.3962,-0.5672,0.0366,26.19204
95.233,26.194,4.88,28.2,30.4395,31.0,30.4031,-0.5605,0.0364,26.19208
96.262,26.194,4.96,28.2,30.4463,31.0,30.4099,-0.5537,0.0364,26.19487
97.19,26.203,4.96,28.2,30.4525,31.0,30.4215,-0.5475,0.0309,26.19321
98.311,26.203,4.88,28.2,30.4598,31.0,30.4295,-0.5402,0.0303,26.19985
99.227,26.203,4.88,28.2,30.4657,31.0,30.4356,-0.5343,0.0302,26.20187
100.253,26.206,4.88,28.2,30.4724,31.0,30.4435,-0.5276,0.029,26.20177
101.197,26.203,4.8,28.2,30.4785,31.0,30.4495,-0.5215,0.029,26.20288
102.197,26.206,4.84,28.2,30.4849,31.0,30.4567,-0.5151,0.0282,26.20268
103.226,26.208,4.8,28.2,30.4915,31.0,30.4646,-0.5085,0.027,26.20368
104.251,26.209,4.84,28.2,30.4982,31.0,30.4713,-0.5018,0.0268,26.20748
105.274,26.209,4.84,28.2,30.5048,31.0,30.4781,-0.4952,0.0267,26.20758
106.201,26.211,4.8,28.2,30.5107,31.0,30.4852,-0.4893,0.0255,26.20677
107.214,26.212,4.88,28.2,30.5173,31.0,30.4918,-0.4827,0.0255,26.21138
108.239,26.215,4.84,28.2,30.5239,31.0,30.5003,-0.4761,0.0236,26.20963
109.268,26.217,4.84,28.2,30.5306,31.0,30.5078,-0.4694,0.0228,26.21341
110.29,26.217,4.84,28.2,30.5372,31.0,30.5145,-0.4628,0.0227,26.21537
111.212,26.217,4.84,28.2,30.5432,31.0,30.5206,-0.4568,0.0225,26.21555
112.236,26.217,4.92,28.2,30.5499,31.0,30.5274,-0.4501,0.0225,26.21729
113.259,26.218,4.92,28.2,30.5566,31.0,30.5345,-0.4434,0.0221,26.21553
114.284,26.223,4.92,28.2,30.5633,31.0,30.5438,-0.4367,0.0195,26.21646
115.215,26.22,4.8,28.2,30.5693,31.0,30.5499,-0.4307,0.0194,26.21865
116.231,26.223,4.96,28.2,30.576,31.0,30.5567,-0.424,0.0194,26.22209
117.255,26.226,4.88,28.2,30.5827,31.0,30.5659,-0.4173,0.0168,26.21952
118.276,26.226,4.88,28.2,30.5894,31.0,30.5727,-0.4106,0.0166,26.22422
119.225,26.228,4.84,28.2,30.5955,31.0,30.5801,-0.4045,0.0154,26.22341
120.228,26.229,4.8,28.2,30.6019,31.0,30.5874,-0.3981,0.0146,26.22521
121.246,26.229,4.92,28.2,30.6086,31.0,30.594,-0.3914,0.0146,26.2299
122.271,26.228,4.8,28.2,30.6152,31.0,30.6013,-0.3848,0.0139,26.22441
123.297,26.229,4.84,28.2,30.6218,31.0,30.6082,-0.3782,0.0136,26.22703
124.236,26.229,4.84,28.2,30.6279,31.0,30.6144,-0.3721,0.0135,26.22728
125.237,26.231,4.92,28.2,30.6345,31.0,30.6212,-0.3655,0.0133,26.22907
126.266,26.235,4.92,28.2,30.6412,31.0,30.6299,-0.3588,0.0114,26.22917
127.286,26.235,4.84,28.2,30.6478,31.0,30.6373,-0.3522,0.0105,26.23117
128.237,26.237,4.92,28.2,30.6541,31.0,30.6438,-0.3459,0.0103,26.235
129.241,26.238,4.84,28.2,30.6606,31.0,30.6515,-0.3394,0.0091,26.23317
130.364,26.238,4.92,28.2,30.6679,31.0,30.6589,-0.3321,0.009,26.23759
131.282,26.238,4.92,28.2,30.674,31.0,30.6651,-0.326,0.0089,26.23623
132.304,26.238,4.92,28.2,30.6807,31.0,30.672,-0.3193,0.0087,26.23602
133.256,26.24,4.92,28.2,30.6869,31.0,30.6791,-0.3131,0.0079,26.23615
