Timestamp,V_Meas(Avg),V_Pred(EKF),SoC_CC(%),SoC_EKF(%),dt
16:05:14,3.244999,3.244148,5.255469307,10.56637466,1
16:05:15,3.244999,3.244159,5.262147263,10.57349071,1
16:05:16,3.244999,3.244164,5.268825218,10.58061197,1
16:05:17,3.244999,3.244167,5.275503173,10.58773324,1
16:05:18,3.244999,3.244169,5.282181129,10.5948545,1
16:05:19,3.244999,3.24417,5.288859084,10.60197279,1
16:05:20,3.244999,3.244171,5.29553704,10.60909852,1
16:05:21,3.244999,3.244172,5.302214995,10.616225,1
16:05:22,3.244999,3.244173,5.30889295,10.62335223,1
16:05:23,3.244999,3.244174,5.315570906,10.63048095,1
16:05:24,3.244999,3.244174,5.322248861,10.63761115,1
16:05:25,3.244999,3.244175,5.328926817,10.64474285,1
16:05:26,3.244999,3.244176,5.335604772,10.65187603,1
16:05:27,3.244999,3.244176,5.342282727,10.65901071,1
16:05:28,3.244999,3.244177,5.348960683,10.6661424,1
16:05:29,3.244999,3.244178,5.355638638,10.6732823,1
16:05:30,3.244999,3.244178,5.362316594,10.68042293,1
16:05:31,3.244999,3.244179,5.368994549,10.68756431,1
16:05:32,3.244999,3.24418,5.375672504,10.69470719,1
16:05:33,3.244999,3.244181,5.38235046,10.70185155,1
16:05:34,3.244999,3.244181,5.389028415,10.7089974,1
16:05:35,3.244999,3.244182,5.39570637,10.71614474,1
16:05:36,3.244999,3.244183,5.402384326,10.72329357,1
16:05:37,3.244999,3.244183,5.409062281,10.73044389,1
16:05:38,3.244999,3.244184,5.415740237,10.73759124,1
16:05:39,3.244999,3.244185,5.422418192,10.74474677,1
16:05:40,3.244999,3.244185,5.429096147,10.75190306,1
16:05:41,3.244999,3.244186,5.435774103,10.75906008,1
16:05:42,3.244999,3.244187,5.442452058,10.7662186,1
16:05:43,3.244999,3.244188,5.449130014,10.7733734,1
16:05:44,3.244999,3.244188,5.455807969,10.78053713,1
16:05:45,3.244999,3.244189,5.462485924,10.78770086,1
16:05:46,3.244999,3.24419,5.46916388,10.79486534,1
